location,population,HighestInfectionCount,PercentPopulationInfected
Faeroe Islands,49053,34658,70.654190365523
Denmark,5813302,3034882,52.205820375408
Andorra,77354,39713,51.3392972567676
Gibraltar,33691,16660,49.4494078537295
Iceland,368792,178385,48.3700839497603
Slovenia,2078723,952479,45.8203906917853
Netherlands,17173094,7794517,45.3879597933838
Cyprus,896005,400534,44.7022059028688
San Marino,34010,15125,44.4722140546898
Slovakia,5449270,2399832,44.0395135495213
Latvia,1866934,786974,42.1532844760447
Liechtenstein,38254,15889,41.5355256966592
Estonia,1325188,549793,41.4879247321889
Georgia,3979773,1645301,41.3415790297587
Israel,9291000,3835693,41.283962974922
Austria,9043072,3665003,40.5282961365341
Seychelles,98910,40044,40.4852896572642
Switzerland,8715494,3419549,39.2352860319794
Lithuania,2689862,1009756,37.5393235786817
Montenegro,628051,232626,37.0393487153113
France,67422000,24832702,36.8317492806502
Czechia,10724553,3784532,35.2884824197335
Portugal,10167923,3534003,34.7563902677076
Saint Pierre and Miquelon,5771,1930,33.4430774562467
Luxembourg,634814,208223,32.8006313660379
Belgium,11632334,3782085,32.5135523103102
Isle of Man,85410,27566,32.2749092612106
Maldives,543620,174658,32.1286928369081
Aruba,107195,33929,31.6516628574094
Bahrain,1748295,549718,31.4430916979114
Cayman Islands,66498,20606,30.9873981172366
United Kingdom,68207114,20756767,30.4319678442926
Bonaire Sint Eustatius and Saba,26445,8039,30.3989411987143
Brunei,441532,129837,29.4060226665338
Serbia,6871547,1966078,28.611868622888
Ireland,4982904,1422945,28.5565405233575
Greece,10370747,2900334,27.9664907455557
Mongolia,3329282,917732,27.5654630638078
European Union,447189915,122462404,27.3848760654631
Croatia,4081657,1091511,26.7418599848052
Monaco,39520,10490,26.5435222672065
Norway,5465629,1395556,25.5333100728205
French Polynesia,282534,71868,25.4369385631464
Uruguay,3485152,882379,25.3182357613097
Spain,46745211,11451676,24.4980731822988
Sweden,10160159,2481736,24.4261531733903
Curacao,164796,40217,24.4041117502852
United States,332915074,79936777,24.0111617775529
Italy,60367471,14229495,23.5714611930654
Europe,748962983,175719495,23.461706250975
Germany,83900471,19487710,23.2271759237204
South Korea,51305184,11497711,22.4104273751362
Palau,18174,3987,21.9379333113239
High income,1214930230,264978443,21.8101777745706
Greenland,56868,11971,21.0505029190406
New Caledonia,288217,60268,20.9106333075426
Barbados,287708,58270,20.2531733563196
British Virgin Islands,30423,6141,20.1853860566019
Bermuda,62092,12354,19.8962829349997
Argentina,45605823,9023812,19.7865347150955
Singapore,5453600,1060723,19.4499596596743
Hungary,9634162,1839358,19.0920393491411
Chile,19212362,3434908,17.8786345999518
Panama,4381583,763025,17.4143682774011
Anguilla,15125,2633,17.4082644628099
Turkey,85042736,14775634,17.3743634024192
Jordan,10269022,1689314,16.4505831227161
Bulgaria,6896655,1132398,16.4195251176114
Australia,25788217,4228461,16.3968722614673
Dominica,72172,11787,16.3318184337416
Costa Rica,5139053,834726,16.2427980408064
Lebanon,6769151,1090208,16.1055352436369
Mauritius,1273428,204200,16.03545704979
North America,596581283,94368515,15.8182158389974
Poland,37797000,5933107,15.6972960816996
Finland,5548361,844713,15.2245500968664
Turks and Caicos Islands,39226,5888,15.010452251058
Romania,19127772,2835749,14.8252969556517
Malta,516100,76357,14.7950009688045
Hong Kong,7552800,1111629,14.7181045440102
North Macedonia,2082661,304648,14.6278246915845
Kuwait,4328553,628130,14.5113159062624
Armenia,2968128,422423,14.2319670849775
Belize,404915,57231,14.134077522443
Brazil,213993441,29809769,13.9302255530346
Suriname,591798,79133,13.3716234255607
South America,434260137,55846020,12.8600383138552
Kosovo,1782115,227296,12.7542835338909
Moldova,4024025,512047,12.7247469884009
Palestine,5222756,655468,12.5502320996807
Malaysia,32776195,4101081,12.5123767417176
Saint Lucia,184401,22919,12.4288913834524
Grenada,113015,13967,12.3585364774587
Qatar,2930524,360619,12.3056149685176
Russia,145912022,17458275,11.9649325399658
Colombia,51265841,6082943,11.8654895371754
Oceania,43219954,5082341,11.7592466664819
Ukraine,43466822,5040518,11.5962423017721
Bosnia and Herzegovina,3263459,374810,11.4850531292105
New Zealand,5126300,587467,11.4598638394163
Botswana,2397240,263950,11.0105788323238
Peru,33359415,3543790,10.6230579882771
Saint Kitts and Nevis,53546,5548,10.3611847757069
Belarus,9442867,957088,10.1355658191522
Cape Verde,561901,55945,9.95638021644382
Trinidad and Tobago,1403374,136561,9.73090566021602
Cuba,11317498,1085404,9.59049429476374
Albania,2872934,273318,9.51354956292069
Canada,38067913,3445404,9.05067740382826
Paraguay,7219641,647762,8.97221897875532
Vietnam,98168829,8761252,8.92467811753158
United Arab Emirates,9991083,889456,8.90249835778564
Tunisia,11935764,1033731,8.66078618846686
Saint Vincent and the Grenadines,111269,9447,8.49023537553137
Iran,85028760,7147407,8.40586996682064
Bahamas,396914,33242,8.37511400454507
Guyana,790329,63223,7.99957992177941
Azerbaijan,10223344,791654,7.74359152934695
Bolivia,11832936,900845,7.61303027414329
Antigua and Barbuda,98728,7482,7.57839721254355
Oman,5223376,387922,7.42665280079397
Kazakhstan,18994958,1393546,7.33639948032525
Libya,6958538,501420,7.20582398199162
Cook Islands,17572,1257,7.15342590484862
Fiji,902899,64376,7.12992261592936
South Africa,60041996,3710766,6.1802842130698
Namibia,2587344,157576,6.09026090075382
World,7874965730,478999345,6.08255783482629
Eswatini,1172369,69658,5.94164465283541
Iraq,41179351,2317498,5.62781574678047
Dominican Republic,10953714,577673,5.27376376633533
Thailand,69950844,3503264,5.00817974404998
Japan,126050796,6285894,4.9867943713739
Upper middle income,2513672790,123832988,4.92637659494257
Ecuador,17888474,857299,4.79246580787159
Tonga,106759,4872,4.56354967731058
Guatemala,18249868,823145,4.51041618492802
Mexico,130262220,5643963,4.33277046867465
Jamaica,2973462,128628,4.3258666160859
Honduras,10062994,420621,4.17987926853579
Wallis and Futuna,11094,454,4.09230214530377
Vatican,812,29,3.57142857142857
Montserrat,4981,174,3.49327444288296
Falkland Islands,3528,119,3.37301587301587
Philippines,111046910,3676230,3.31051985147538
Nepal,29674920,978309,3.29675362225071
Bhutan,779900,24316,3.11783561995128
Morocco,37344787,1162841,3.11379738221562
India,1393409033,43016372,3.08713170226736
Sri Lanka,21497306,660633,3.07309669406948
Kyrgyzstan,6628347,200857,3.03027285686763
Asia,4678444992,136489600,2.91741380380432
Sao Tome and Principe,223364,5944,2.66112712881216
Lower middle income,3330652550,88359079,2.65290592980045
Kiribati,121388,3062,2.52248986720269
El Salvador,6518500,161052,2.47069110991793
Laos,7379358,164078,2.22347255682676
Indonesia,276361788,5986830,2.16630165962018
Saudi Arabia,35340680,750179,2.12270675040775
Gabon,2278829,47584,2.08808997954651
Venezuela,28704947,520038,1.81166681826655
Timor,1343875,22818,1.69792577434657
Zambia,18920657,316422,1.67236264575802
Zimbabwe,15092171,245645,1.62763196891951
Djibouti,1002197,15580,1.55458457768283
Lesotho,2159067,32880,1.52288002178719
Solomon Islands,703995,10426,1.4809764273894
Mauritania,4775110,58665,1.2285580855729
Bangladesh,166303494,1951174,1.17326097790826
Myanmar,54806014,610493,1.11391607497674
Equatorial Guinea,1449891,15999,1.10346226026646
Rwanda,13276517,129706,0.976958038015543
Comoros,888456,8081,0.909555453505858
Africa,1373486472,11492653,0.836750360071985
Cambodia,16946446,135344,0.798657134363158
Mozambique,32163045,225231,0.700278844866834
Uzbekistan,33935765,237542,0.69997537995681
Pakistan,225199929,1523590,0.676549946869655
Vanuatu,314464,1963,0.624236796580849
Algeria,44616626,265612,0.595320677094678
Kenya,54985702,323350,0.588061965636085
Ghana,31732128,160894,0.507038166491702
Senegal,17196308,85854,0.499258329171587
Gambia,2486937,11986,0.481958328658909
Egypt,104258327,500889,0.480430690202808
Papua New Guinea,9119005,43076,0.472376098050171
Afghanistan,39835428,177321,0.44513391446428
Cameroon,27224262,119544,0.439108321834399
Malawi,19647681,85596,0.435654467313471
Togo,8478242,36907,0.435314302186703
Congo,5657017,24062,0.425347846753863
Guinea-Bissau,2015490,8126,0.403177391105885
Ethiopia,117876226,469604,0.398387372870251
Samoa,200144,796,0.397713646174754
Uganda,47123533,163830,0.347660690042064
Burundi,12255429,38440,0.313656910745434
Syria,18275704,55623,0.304354896533671
Cote d'Ivoire,27053629,81690,0.301955793065692
Central African Republic,4919987,14649,0.297744689162797
Angola,33933611,99102,0.292046726179539
Nicaragua,6702379,18365,0.274007184613105
Low income,665149040,1813475,0.272641902933514
Guinea,13497237,36459,0.270121951626099
Eritrea,3601462,9724,0.270001460517979
Haiti,11541683,30511,0.264354860551966
Madagascar,28427333,63928,0.224882158308695
Benin,12451031,26952,0.21646400205734
Tajikistan,9749625,17786,0.182427529263946
Somalia,16359500,26410,0.161435251688621
